OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1,400015987,W-714324,FED,DOI-WFMI,BLM,USCACND,Central California District,CACND,Central California District,10045,,LE5R,NUNS,2017_7293146_NUNS,2017_7200218_SOUTHERN LNU COMPLEX,CA3838712252020171009,NUNS,SOUTHERN/CENTRAL LNU COMPLEX,2017,10/8/2017 0:00,281,2200,Human,Missing data/not specified/undetermined,,10/29/2017 0:00,302,1200,56556,G,38.4089,-122.47,PRIVATE,CA,Sonoma,6097,Sonoma County
2,400015989,W-714325,FED,DOI-WFMI,BLM,USCACND,Central California District,CACND,Central California District,10047,,LE5R,POCKET,2017_7290270_POCKET,2017_7293180_CENTRAL LNU COMPLEX,CA3874312290720171009,POCKET,CENTRAL LNU COMPLEX,2017,10/9/2017 0:00,282,330,Human,Missing data/not specified/undetermined,,10/29/2017 0:00,302,1200,17357,G,38.7661,-122.9069,PRIVATE,CA,Sonoma,6097,Sonoma County
3,400108848,SFO-2017CACDFLNU009015,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009015,,RED 2,,,,,,2017,9/13/2017 0:00,256,840,Natural,Natural,,9/13/2017 0:00,256,934,0.02,A,38.68815,-122.804683,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
4,400113219,SFO-2017CACDFLNU004279,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004279,,HALF MOON ST /N CASTLE RD,,,,,,2017,5/18/2017 0:00,138,1347,Human,Equipment and vehicle use,,5/18/2017 0:00,138,1410,0.01,A,38.299529,-122.433569,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
5,400113427,SFO-2017CACDFLNU005216,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005216,,WINE CREEK RD  GEYSERVILL,,,,,,2017,6/13/2017 0:00,164,1145,Human,Equipment and vehicle use,,6/13/2017 0:00,164,1215,0.14,A,38.659783,-122.95305,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
6,400113458,SFO-2017CACDFLNU005289,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005289,,PLEASANTS,,,,,,2017,6/15/2017 0:00,166,1402,Human,Equipment and vehicle use,,6/15/2017 0:00,166,1454,0.02,A,38.537568,-122.769045,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
7,400113695,SFO-2017CACDFLNU006118,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006118,,PEPPER,,,,,,2017,7/3/2017 0:00,184,1522,Human,Equipment and vehicle use,,7/3/2017 0:00,184,1630,0.4,B,38.284066,-122.720013,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
8,400114015,SFO-2017CACDFLNU007039,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007039,,CANFIELD,,,,,,2017,7/26/2017 0:00,207,1211,Human,Equipment and vehicle use,,7/26/2017 0:00,207,1315,3.57,B,38.32153,-122.785571,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
9,400114369,SFO-2017CACDFLNU008454,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008454,,JACOBSEN LN  PENNGROVE,,,,,,2017,8/31/2017 0:00,243,859,Human,Equipment and vehicle use,,8/31/2017 0:00,243,918,0.01,A,38.29819,-122.647008,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
10,400114591,SFO-2017CACDFLNU009709,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009709,,PEPPER,,,,,,2017,9/30/2017 0:00,273,1420,Human,Equipment and vehicle use,,9/30/2017 0:00,273,1434,0.01,A,38.257895,-122.763158,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
11,400116538,SFO-2017CACDFLNU004308,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004308,,NELLIGAN RD  GLEN_ELLEN,,,,,,2017,5/19/2017 0:00,139,819,Human,Equipment and vehicle use,,,,,0.01,A,38.414311,-122.511462,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
12,400116539,SFO-2017CACDFLNU005343,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005343,,CUNNINGHAM,,,,,,2017,6/16/2017 0:00,167,1447,Human,Equipment and vehicle use,,,,,0.43,B,38.364667,-122.8055,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
13,400116540,SFO-2017CACDFLNU005611,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005611,,KNIGHTS,,,,,,2017,6/21/2017 0:00,172,1707,Human,Equipment and vehicle use,,,,,3.56,B,38.65066,-122.729126,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
14,400116541,SFO-2017CACDFLNU000111,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU000111,,,,,,,,2017,6/24/2017 0:00,175,1145,Human,Equipment and vehicle use,,,,,0.24,A,38.349607,-122.607587,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
15,400116542,SFO-2017CACDFLNU005988,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005988,,HOG,,,,,,2017,6/30/2017 0:00,181,1326,Human,Equipment and vehicle use,,,,,8.2,B,38.775416,-123.052059,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
16,400116543,SFO-2017CACDFLNU006329,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006329,,ADOBE,2017_7200218_SOUTHERN LNU COMPLEX,2017_7200218_SOUTHERN LNU COMPLEX,,,SOUTHERN/CENTRAL LNU COMPLEX,2017,7/8/2017 0:00,189,1117,Human,Equipment and vehicle use,,,,,0.15,A,38.292914,-122.651808,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
17,400116544,SFO-2017CACDFLNU007076,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007076,,MORELLI,,,,,,2017,7/27/2017 0:00,208,1200,Human,Equipment and vehicle use,,,,,0.01,A,38.313634,-122.605199,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
18,400116545,SFO-2017CACDFLNU007368,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007368,,NORRBOM,2017_7200218_SOUTHERN LNU COMPLEX,2017_7200218_SOUTHERN LNU COMPLEX,,,SOUTHERN/CENTRAL LNU COMPLEX,2017,8/3/2017 0:00,215,1400,Human,Equipment and vehicle use,,,,,1.3,B,38.33414,-122.449098,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
19,400116546,SFO-2017CACDFLNU008394,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008394,,LAKEVILLE,,,,,,2017,8/29/2017 0:00,241,1734,Human,Equipment and vehicle use,,,,,0.01,A,38.1733,-122.523105,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
20,400118177,SFO-2017CACDFLNU005599,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005599,,WATER,,,,,,2017,6/21/2017 0:00,172,1320,Human,Smoking,,,,,0.01,A,38.510082,-122.727213,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
21,400127770,SFO-2017CACDFLNU008425,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008425,,SPRING,,,,,,2017,8/30/2017 0:00,242,1348,Human,Debris and open burning,,8/30/2017 0:00,242,1421,12,C,38.223898,-122.714686,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
22,400133927,SFO-2017CACDFLNU002444,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU002444,,STAGE GULCH RD / ADOBE RD,,,,,,2017,3/18/2017 0:00,77,747,Human,Debris and open burning,,,,,0.01,A,38.242731,-122.505542,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
23,400133928,SFO-2017CACDFLNU005033,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005033,,BEI RD  CAZADERO,,,,,,2017,6/8/2017 0:00,159,1218,Human,Debris and open burning,,,,,0.01,A,38.533609,-123.089892,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
24,400133929,SFO-2017CACDFLNU005808,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005808,,PETALUMA HILL RD  COTATI,,,,,,2017,6/26/2017 0:00,177,1132,Human,Debris and open burning,,,,,7,B,38.33848,-122.666858,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
25,400133930,SFO-2017CACDFLNU007717,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007717,,WILLOW CREEK RD / HWY 1,,,,,,2017,8/12/2017 0:00,224,1307,Human,Debris and open burning,,,,,0.01,A,38.434631,-123.101647,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
